NameAndaddress,Postcode,Location,DescriptionofHouse,Type,Duration,NoofBasement,BathroomandShowers,Bedsitsandflats,WcandShowers,NumberOfOccupants
"CQK Limited, 79 Crossbrook Street, Cheshunt, Herts, EN8 8LU",W8 5AR,Queen's Gate,Bedsits and Studios,standard,10th December 2015 - 10th December 2020,6,"(i)23, (ii)23",(i)19 (ii)4,"18 Exclusive use of bath/Shower, 18 Exclusive use of WC",46
"The Wellcome Trust Limited
215 Euston Road, London, NW1 2BE",SW7 3BB,Courtfield,Bedsits,standard,5th January 2016 - 5th January 2021,5,(i)13 (ii)13,(i)2 (ii)11,1 Shared Kitchen,25
"LONDON VILLA LTD.
MOUNTVIEW COURT 1148 HIGH ROAD 
WHETSTONE, LONDON 
N20 0RA",SW7 2EA,Courtfield,Bedsits,standard,5th February 2016 - 5th February 2021,6,(i)20 (ii)20,(i)10 (ii)10,"7 Shared WCs, All kitchens in lettings ",28
"London & Surrey Property Holdings Ltd.
Parkway House, Sheen Lane, East Sheen, London SW14 8LS ",W8 6LQ,Abingdon,Bedsits,Standard,28th April 2015 - 28th April 2017 ,4,(i)11 (ii)11,(i)0 (ii)11,"4 Shared WCs, 4 Shared Bath/Shower",19
"Silvana Manzi
6 Thurloe Street
London
SW7 2ST",SW5 0NT,Courtfield,Studios & Bedsits with shared facilities,Standard,11th February 2016 - 11th February 2021,7,(i)18 (ii)18,(i)8 (ii)10,,32
"Silvana Manzi
 6 Thurloe Street, London, SW7 2ST",SW5 0NT,Courtfield,Studios & Bedsits with shared facilities,standard,11th February 2016 - 11th February 2021,6,(i)21 (ii)21,(i)11 (ii)10,,35
"Mr John Shaw
 128 Perth Road, Illford, Essex, IG2 6AS",SW7 3DP,Brompton and Hans Town,Bedsits,standard,12th February 2016 - 12th February 2018,4,(i)18 (ii)18,(i)0 (ii)18,"8 Shared Showers, 10 Shared WCs, 6 Shared Kitchens",24
"The Company Secretary
European Trade and Finance Ltd.
Quantum House
22-24 Red Lion Court
London 
EC4a 3EB",SW3 1QH,Brompton and Hans Town,Studios & Bedsits with shared facilities,standard,23rd February 2016 - 23rd February 2021,9,(i)18 (ii)18,(i)9 (ii)9,Kitchens in all lettings,31
"The Company Secretary
The Wellcome Trust Limited
215 Euston Road
London
NW1 2BE
",SW7 3QD,Courtfield,Studios & Bedsits with shared facilities,standard,23rd February 2016 - 23rd February 2021,6,(i)11 (ii)11,(i)1 (ii)10,"4 Shared Baths, 1 Shared Shower",18
"Mr. R. Shah
81 Warwick Road, LONDON, SW5 9HB",SW5 9HB,Earl's Court,Bedsits,standard,14th March 2016 - 14th March 2021,5,(i)20 (ii)20,(i)0 (ii)20,"7 Shared WC, 6 Shared Bath/Shower",20
"Elhameh F-Norowzian & Mehdi Norowzian
18 Horbury Crescent
London
W11 3NF ",W10 6EN,St Helen's,Studios & Bedsits with shared facilities,standard,30th March 2016 - 30th March 2021,5,(i)9 (ii)9,(i)1 (ii)8,"3 Shared Baths/Showers,3 Shared WCs",18
"Olympia Estates Ltd.
336 Pinner Road
Harrow
Middlesex 
HA1 4LB",W2 4EX,Pembridge,Studios & Bedsits with shared facilities,standard,7th April 2016 - 7th April 2021,6,(i)23 (ii)23,(i) 17 (ii) 6 ,"3 Shared Showers/Baths, 3 Shared WCs",38
"Theodosios Kitsos
53 Elsham Road
London
W14 8HD",W14 8HD,Holland,Studios & Bedsits with shared facilities,standard,19th April 2016 - 19th April 2021,5,(i)11 (ii)11,(i) 2 (ii) 9,"3 Shared WCs, 2 Shared Kitchens, 3 Shared Showers/Baths",18
"Vanguard R. Co. Limited
9 Bonhill Street
London
EC2A 4DJ",SW3 2SB,Royal Hospital,Studios & Bedsits with shared facilities,standard,19th April 2016 - 19th April 2021,6,(i)15 (ii)15,(i)6 (ii) 9,4 Shared WCs,27
"Mr. Anthony Dodds
98 Kensington Church Street
London
W8 4BU
",W8 4BU,Campden,Studios & Bedsits with shared facilities,standard,19th April 2016 - 19th April 2021,5,(i)9 (ii)9,(i)1 (ii)8,"2 Shared Bathrooms with WC, 2 Shared WCs",15
